pays,orange,aqua,black,blue,green,gray,lime,maroon,navy,olive,red,silver,teal,white,yellow
Slovenia,0.024691358024691357,0.12345679012345678,,0.13580246913580246,,0.30246913580246915,,0.037037037037037035,0.024691358024691357,0.012345679012345678,33.49382716049383,0.4691358024691358,33.2037037037037,32.17283950617284,
Solomon Islands,9.753086419753087,,,,44.598765432098766,0.25308641975308643,,,,0.5246913580246914,,0.6604938271604939,41.94444444444444,2.265432098765432,
Somalia,,,,,,0.24691358024691357,,,,,,0.6358024691358025,95.16666666666667,3.950617283950617,
South Africa,4.981481481481482,,8.777777777777779,,30.382716049382715,0.11728395061728394,,0.20987654320987653,21.030864197530864,0.8148148148148148,20.901234567901234,1.6419753086419753,0.5308641975308642,10.61111111111111,
South Sudan,1.2962962962962963,,26.080246913580247,,26.030864197530864,0.4012345679012346,,0.04938271604938271,19.679012345679013,0.037037037037037035,18.09259259259259,1.5679012345679013,0.38271604938271603,6.382716049382716,
Spain,43.47530864197531,,,,,0.7530864197530864,,1.6975308641975309,0.018518518518518517,1.8950617283950617,51.18518518518518,0.9197530864197531,0.05555555555555555,,
Sri Lanka,49.49382716049383,,0.09259259259259259,,,,,34.71604938271605,,4.734567901234568,,,10.962962962962964,,
Sudan,,,29.691358024691358,,16.48148148148148,0.06172839506172839,,0.12345679012345678,,0.06172839506172839,29.506172839506174,0.06172839506172839,,24.012345679012345,
Suriname,2.962962962962963,,,,40.0,,,,,0.18518518518518517,36.851851851851855,,,20.0,
Sweden,30.22222222222222,,,,,,,,,,,,69.77777777777777,,
Switzerland,1.876543209876543,,,,,,,,,,79.11111111111111,0.04938271604938271,,18.962962962962962,
Syria,,,33.333333333333336,,2.4444444444444446,1.2839506172839505,,,,,33.333333333333336,1.4444444444444444,0.2345679012345679,27.925925925925927,
Tajikistan,1.4938271604938271,,,,28.88888888888889,,,,,,28.88888888888889,0.1728395061728395,,40.55555555555556,
Tanzania,11.45679012345679,,29.450617283950617,,,,28.88888888888889,0.20987654320987653,,0.8024691358024691,,0.2716049382716049,28.919753086419753,,
Thailand,,,31.11111111111111,,,4.444444444444445,,31.11111111111111,,,,,,33.333333333333336,
Togo,32.55555555555556,,,,0.2222222222222222,0.09876543209876543,,,,,19.72222222222222,0.3765432098765432,44.888888888888886,2.1358024691358026,
Tonga,,,,,,,,,,,82.90123456790124,0.7901234567901234,,16.308641975308642,
Trinidad And Tobago,0.08641975308641975,,20.08641975308642,,,0.7654320987654321,,,,,68.98148148148148,1.2592592592592593,,8.820987654320987,
Tunisia,0.3271604938271605,,,,,,,,,,90.08024691358025,1.117283950617284,,8.475308641975309,
Turkey,0.3395061728395062,,,,,,,,,,93.5679012345679,0.7654320987654321,,5.327160493827161,
Turkmenistan,3.197530864197531,,,,82.6604938271605,1.308641975308642,,1.6419753086419753,,2.8703703703703702,6.320987654320987,0.7716049382716049,0.5061728395061729,0.7222222222222222,
Tuvalu,3.0185185185185186,,,,,1.1049382716049383,,,6.395061728395062,0.08024691358024691,8.728395061728396,2.462962962962963,71.32098765432099,6.888888888888889,
